RowNum,DumpTblNm,DumpFldNm,AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
,,,BIOG_MAIN,c_surname_proper,,Text,True,,
,,,BIOG_MAIN,c_surname_rm,,Text,True,,
110,biog_main,部、族(tribe),BIOG_MAIN,c_tribe,,Text,True,,
,,,BIOG_SOURCE_DATA,c_created_by,,Text,True,,
,,,BIOG_SOURCE_DATA,c_created_date,,Date/Time,True,,
,,,BIOG_SOURCE_DATA,c_main_source,,Binary,True,,
,,,BIOG_SOURCE_DATA,c_modified_by,,Text,True,,
,,,BIOG_SOURCE_DATA,c_modified_date,,Date/Time,True,,
,,,BIOG_SOURCE_DATA,c_notes,,Memo,True,,
,,,BIOG_SOURCE_DATA,c_pages,Primary Key,Text,False,,
,,,BIOG_SOURCE_DATA,c_personid,Primary Key,Long,False,BIOG_MAIN,c_personid
,,,BIOG_SOURCE_DATA,c_self_bio,,Binary,True,,
