AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
KIN_Mourning,c_kinrel_chn,,Text,True,,
KIN_Mourning,c_mourning,,Text,True,,
KIN_Mourning,c_mourning_chn,,Text,True,,
KIN_Mourning,c_kindist,,Text,True,,
KIN_Mourning,c_kintype,,Text,True,,
KIN_Mourning,c_kintype_desc,,Text,True,,
KIN_Mourning,c_kintype_desc_chn,,Text,True,,
KIN_Mourning,c_notes,,Text,True,,
KIN_MOURNING_STEPS,c_kinrel,Primary Key,Text,False,,
KIN_MOURNING_STEPS,c_upstep,,Integer,False,,
KIN_MOURNING_STEPS,c_dwnstep,,Integer,False,,
KIN_MOURNING_STEPS,c_marstep,,Integer,False,,
KIN_MOURNING_STEPS,c_colstep,,Integer,False,,
KINSHIP_CODES,c_kincode,Primary Key,Integer,False,,
KINSHIP_CODES,c_kin_pair1,,Integer,False,,
KINSHIP_CODES,c_kin_pair2,,Integer,False,,
KINSHIP_CODES,c_kin_pair_notes,,Text,True,,
KINSHIP_CODES,c_kinrel_chn,,Text,False,,
KINSHIP_CODES,c_kinrel,,Text,False,,
KINSHIP_CODES,c_kinrel_alt,,Text,True,,
KINSHIP_CODES,c_pick_sorting,,Integer,True,,
KINSHIP_CODES,c_upstep,,Integer,False,,
KINSHIP_CODES,c_dwnstep,,Integer,False,,
KINSHIP_CODES,c_marstep,,Integer,False,,
KINSHIP_CODES,c_colstep,,Integer,False,,
KINSHIP_CODES,c_kinrel_simplified,,Text,False,,
LITERARYGENRE_CODES,c_lit_genre_code,Primary Key,Integer,False,,
LITERARYGENRE_CODES,c_lit_genre_desc,,Text,False,,
LITERARYGENRE_CODES,c_lit_genre_desc_chn,,Text,True,,
LITERARYGENRE_CODES,c_sortorder,,Integer,False,,
MEASURE_CODES,c_measure_code,Primary Key,Integer,False,,
MEASURE_CODES,c_measure_desc,,Text,False,,
MEASURE_CODES,c_measure_desc_chn,,Text,False,,
MERGED_PERSON_DATA,c_personid,Primary Key,Long,False,,
MERGED_PERSON_DATA,c_merged_from_personid,Primary Key,Long,False,,
MERGED_PERSON_DATA,c_notes,,Memo,True,,
MERGED_PERSON_DATA,c_source,,Long,True,,
MERGED_PERSON_DATA,c_pages,,Text,True,,
MERGED_PERSON_DATA,c_created_by,,Text,True,,
