AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,RelationName
SOCIAL_INSTITUTION_ADDR,c_inst_addr_id,ADDR_CODES,c_addr_id,SOCIAL_INSTITUTION_ADDR_ADDR_ID
SOCIAL_INSTITUTION_ADDR,c_inst_addr_type_code,SOCIAL_INSTITUTION_ADDR_TYPES,c_inst_addr_type_code,SOCIAL_INSTITUTION_ADDR_TYPE
SOCIAL_INSTITUTION_ADDR,c_inst_addr_type_code,SOCIAL_INSTITUTION_ADDR_TYPES,c_inst_addr_type_code,SOCIAL_INSTITUTION_ADDR_TYPESSOCIAL_INSTITUTION_ADDR
SOCIAL_INSTITUTION_ADDR,c_inst_code,SOCIAL_INSTITUTION_CODES,c_inst_code,SOCIAL_INSTITUTION_ADDR_SOCIAL_INSTITUTION_CODE
SOCIAL_INSTITUTION_ADDR,c_inst_name_code,SOCIAL_INSTITUTION_CODES,c_inst_name_code,SOCIAL_INSTITUTION_ADDR_SOCIAL_INSTITUTION_CODE
SOCIAL_INSTITUTION_ADDR,c_source,TEXT_CODES,c_textid,SOCIAL_INSTITUTION_ADDR_TEXT_CODES
SOCIAL_INSTITUTION_ADDR,c_source,TEXT_CODES,c_textid,TEXT_CODESSOCIAL_INSTITUTION_ADDR1
SOCIAL_INSTITUTION_CODES,c_by_nianhao_code,NIAN_HAO,c_nianhao_id,NIAN_HAOSOCIAL_INSTITUTION_CODES
SOCIAL_INSTITUTION_CODES,c_by_nianhao_code,NIAN_HAO,c_nianhao_id,SOCIAL_INSTITUTION_CODES_NIAN_HAO_BY
SOCIAL_INSTITUTION_CODES,c_by_year_range,YEAR_RANGE_CODES,c_range_code,SOCIAL_INSTITUTION_CODES_YEAR_RANGE_CODE_BY
SOCIAL_INSTITUTION_CODES,c_by_year_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESSOCIAL_INSTITUTION_CODES
SOCIAL_INSTITUTION_CODES,c_ey_nianhao_code,NIAN_HAO,c_nianhao_id,NIAN_HAOSOCIAL_INSTITUTION_CODES2
SOCIAL_INSTITUTION_CODES,c_ey_nianhao_code,NIAN_HAO,c_nianhao_id,SOCIAL_INSTITUTION_CODES_NIAN_HAO_EY
SOCIAL_INSTITUTION_CODES,c_ey_year_range,YEAR_RANGE_CODES,c_range_code,SOCIAL_INSTITUTION_CODES_YEAR_RANGE_CODE_EY
SOCIAL_INSTITUTION_CODES,c_ey_year_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESSOCIAL_INSTITUTION_CODES1
SOCIAL_INSTITUTION_CODES,c_inst_begin_dy,DYNASTIES,c_dy,DYNASTIESSOCIAL_INSTITUTION_CODES
SOCIAL_INSTITUTION_CODES,c_inst_begin_dy,DYNASTIES,c_dy,SOCIAL_INSTITUTION_CODES_DYNASTY_BEGIN
SOCIAL_INSTITUTION_CODES,c_inst_end_dy,DYNASTIES,c_dy,DYNASTIESSOCIAL_INSTITUTION_CODES5
SOCIAL_INSTITUTION_CODES,c_inst_floruit_dy,DYNASTIES,c_dy,DYNASTIESSOCIAL_INSTITUTION_CODES4
SOCIAL_INSTITUTION_CODES,c_inst_floruit_dy,DYNASTIES,c_dy,SOCIAL_INSTITUTION_CODES_DYNASTY_END
SOCIAL_INSTITUTION_CODES,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,SOCIAL_INSTITUTION_CODES_SOCIAL_INSTITUTION_NAME_CODE
SOCIAL_INSTITUTION_CODES,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODESSOCIAL_INSTITUTION_CODES
SOCIAL_INSTITUTION_CODES,c_inst_type_code,SOCIAL_INSTITUTION_TYPES,c_inst_type_code,SOCIAL_INSTITUTION_CODES_SOCIAL_INSTITUTION_TYPE_CODE
SOCIAL_INSTITUTION_CODES,c_inst_type_code,SOCIAL_INSTITUTION_types,c_inst_type_code,SOCIAL_INSTITUTION_typesSOCIAL_INSTITUTION_CODES
SOCIAL_INSTITUTION_CODES,c_source,TEXT_CODES,c_textid,SOCIAL_INSTITUTION_CODES_SOURCE_TEXT_ID
SOCIAL_INSTITUTION_CODES,c_source,TEXT_CODES,c_textid,TEXT_CODESSOCIAL_INSTITUTION_CODES1
STATUS_CODE_TYPE_REL,c_status_code,STATUS_CODES,c_status_code,STATUS_CODE_TYPE_REL_STATUS_CODE
STATUS_CODE_TYPE_REL,c_status_code,STATUS_CODES,c_status_code,STATUS_CODESSTATUS_CODE_TYPE_REL
STATUS_CODE_TYPE_REL,c_status_type_code,STATUS_TYPES,c_status_type_code,STATUS_CODE_TYPE_REL_STATUS_TYPE
STATUS_CODE_TYPE_REL,c_status_type_code,STATUS_TYPES,c_status_type_code,STATUS_TYPESSTATUS_CODE_TYPE_REL
STATUS_DATA,c_fy_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOSTATUS_DATA
status_data,c_fy_nh_code,nian_hao,c_nianhao_id,STATUS_DATA_nian_hao_fy
status_data,c_fy_range,year_range_codes,c_range_code,STATUS_DATA_year_range_code_fy
STATUS_DATA,c_fy_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESSTATUS_DATA
STATUS_DATA,c_ly_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOSTATUS_DATA1
status_data,c_ly_nh_code,nian_hao,c_nianhao_id,STATUS_DATA_nian_hao_ly
status_data,c_ly_range,year_range_codes,c_range_code,STATUS_DATA_year_range_code_ly
STATUS_DATA,c_ly_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESSTATUS_DATA1
STATUS_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINSTATUS_DATA
status_data,c_personid,BIOG_MAIN,c_personid,STATUS_DATA_PERSON_ID
status_data,c_source,TEXT_CODES,c_textid,STATUS_DATA_SOURCE_TEXT_ID
STATUS_DATA,c_source,TEXT_CODES,c_textid,TEXT_CODESSTATUS_DATA1
STATUS_DATA,c_status_code,STATUS_CODES,c_status_code,STATUS_CODESSTATUS_DATA
status_data,c_status_code,STATUS_CODES,c_status_code,STATUS_DATA_STATUS_CODES
TEXT_BIBLCAT_CODE_TYPE_REL,c_text_cat_code,TEXT_BIBLCAT_CODES,c_text_cat_code,TEXT_BIBLCAT_CODE_TYPE_REL_TEXT_CAT_CODE
TEXT_BIBLCAT_CODE_TYPE_REL,c_text_cat_code,TEXT_BIBLCAT_CODES,c_text_cat_code,TEXT_BIBLCAT_CODESTEXT_BIBLCAT_CODE_TYPE_REL
TEXT_BIBLCAT_CODE_TYPE_REL,c_text_cat_type_id,TEXT_BIBLCAT_TYPES,c_text_cat_type_id,TEXT_BIBLCAT_CODE_TYPE_REL_TEXT_CAT_TYPE
TEXT_BIBLCAT_CODE_TYPE_REL,c_text_cat_type_id,TEXT_BIBLCAT_TYPES,c_text_cat_type_id,TEXT_BIBLCAT_TYPESTEXT_BIBLCAT_CODE_TYPE_REL
TEXT_CODES,c_bibl_cat_code,TEXT_BIBLCAT_CODES,c_text_cat_code,TEXT_BIBLCAT_CODESTEXT_CODES
TEXT_CODES,c_bibl_cat_code,TEXT_BIBLCAT_CODES,c_text_cat_code,TEXT_CODES_TEXT_BIBLCAT_CODE
text_codes,c_extant,EXTANT_CODES,c_extant_code,TEXT_CODES_EXTANT_CODE
